from,to,weight
e442rd3v,tpx46qea,0
gauukniy,tpx46qea,0
zan8z6cj,tpx46qea,1
xxkx1e1g,tpx46qea,0
299wzuz4,tpx46qea,1
wo215i77,tpx46qea,-1
cl6iwdzj,tpx46qea,1
5y5w27n8,tpx46qea,1
pv34xizl,tpx46qea,1
qtd4nwnf,tpx46qea,1
m36p5uu7,tpx46qea,0
vnnwzoon,tpx46qea,1
8qy1knb8,tpx46qea,1
ohv0c981,tpx46qea,-1
tpx46qea,tpx46qea,1
469aazzl,tpx46qea,1
ny7i65xf,tpx46qea,0
e442rd3v,7k9j75ig,0
gauukniy,7k9j75ig,0
zan8z6cj,7k9j75ig,1
xxkx1e1g,7k9j75ig,1
299wzuz4,7k9j75ig,0
wo215i77,7k9j75ig,1
cl6iwdzj,7k9j75ig,1
5y5w27n8,7k9j75ig,1
pv34xizl,7k9j75ig,0
qtd4nwnf,7k9j75ig,1
m36p5uu7,7k9j75ig,1
vnnwzoon,7k9j75ig,1
8qy1knb8,7k9j75ig,1
we8zkaxp,7k9j75ig,1
ohv0c981,7k9j75ig,0
tpx46qea,7k9j75ig,0
469aazzl,7k9j75ig,1
ny7i65xf,7k9j75ig,0
e442rd3v,cg5akdum,-1
gauukniy,cg5akdum,1
zan8z6cj,cg5akdum,-1
xxkx1e1g,cg5akdum,0
299wzuz4,cg5akdum,0
wo215i77,cg5akdum,0
cl6iwdzj,cg5akdum,0
5y5w27n8,cg5akdum,1
pv34xizl,cg5akdum,0
qtd4nwnf,cg5akdum,0
m36p5uu7,cg5akdum,-1
vnnwzoon,cg5akdum,-1
8qy1knb8,cg5akdum,0
we8zkaxp,cg5akdum,1
ohv0c981,cg5akdum,1
tpx46qea,cg5akdum,-1
469aazzl,cg5akdum,1
ny7i65xf,cg5akdum,1
e442rd3v,39grl1tb,0
gauukniy,39grl1tb,0
zan8z6cj,39grl1tb,0
xxkx1e1g,39grl1tb,1
299wzuz4,39grl1tb,0
wo215i77,39grl1tb,1
cl6iwdzj,39grl1tb,1
5y5w27n8,39grl1tb,1
pv34xizl,39grl1tb,0
qtd4nwnf,39grl1tb,1
m36p5uu7,39grl1tb,1
vnnwzoon,39grl1tb,0
8qy1knb8,39grl1tb,0
we8zkaxp,39grl1tb,0
ohv0c981,39grl1tb,0
tpx46qea,39grl1tb,1
469aazzl,39grl1tb,0
ny7i65xf,39grl1tb,1
e442rd3v,guoa029e,0
gauukniy,guoa029e,1
zan8z6cj,guoa029e,1
xxkx1e1g,guoa029e,1
299wzuz4,guoa029e,0
wo215i77,guoa029e,1
cl6iwdzj,guoa029e,1
5y5w27n8,guoa029e,1
pv34xizl,guoa029e,1
qtd4nwnf,guoa029e,1
m36p5uu7,guoa029e,1
vnnwzoon,guoa029e,1
8qy1knb8,guoa029e,1
we8zkaxp,guoa029e,1
ohv0c981,guoa029e,1
tpx46qea,guoa029e,1
469aazzl,guoa029e,1
ny7i65xf,guoa029e,0
e442rd3v,yyx7zv50,0
gauukniy,yyx7zv50,0
zan8z6cj,yyx7zv50,0
xxkx1e1g,yyx7zv50,1
299wzuz4,yyx7zv50,0
wo215i77,yyx7zv50,1
cl6iwdzj,yyx7zv50,1
5y5w27n8,yyx7zv50,1
pv34xizl,yyx7zv50,0
qtd4nwnf,yyx7zv50,0
m36p5uu7,yyx7zv50,0
vnnwzoon,yyx7zv50,-1
8qy1knb8,yyx7zv50,0
we8zkaxp,yyx7zv50,0
ohv0c981,yyx7zv50,0
tpx46qea,yyx7zv50,0
469aazzl,yyx7zv50,0
ny7i65xf,yyx7zv50,1
e442rd3v,n6ki8v6d,0
gauukniy,n6ki8v6d,0
zan8z6cj,n6ki8v6d,1
xxkx1e1g,n6ki8v6d,1
299wzuz4,n6ki8v6d,1
wo215i77,n6ki8v6d,1
cl6iwdzj,n6ki8v6d,0
5y5w27n8,n6ki8v6d,1
pv34xizl,n6ki8v6d,1
qtd4nwnf,n6ki8v6d,0
m36p5uu7,n6ki8v6d,0
vnnwzoon,n6ki8v6d,1
8qy1knb8,n6ki8v6d,0
we8zkaxp,n6ki8v6d,1
ohv0c981,n6ki8v6d,1
tpx46qea,n6ki8v6d,0
469aazzl,n6ki8v6d,0
ny7i65xf,n6ki8v6d,0
e442rd3v,2gm2vp7w,-1
gauukniy,2gm2vp7w,1
zan8z6cj,2gm2vp7w,-1
xxkx1e1g,2gm2vp7w,-1
299wzuz4,2gm2vp7w,1
wo215i77,2gm2vp7w,0
cl6iwdzj,2gm2vp7w,0
5y5w27n8,2gm2vp7w,1
pv34xizl,2gm2vp7w,1
qtd4nwnf,2gm2vp7w,-1
m36p5uu7,2gm2vp7w,-1
vnnwzoon,2gm2vp7w,0
8qy1knb8,2gm2vp7w,0
we8zkaxp,2gm2vp7w,-1
ohv0c981,2gm2vp7w,1
tpx46qea,2gm2vp7w,1
469aazzl,2gm2vp7w,0
ny7i65xf,2gm2vp7w,0
e442rd3v,u6iy9n7v,0
gauukniy,u6iy9n7v,0
zan8z6cj,u6iy9n7v,-1
xxkx1e1g,u6iy9n7v,1
299wzuz4,u6iy9n7v,0
wo215i77,u6iy9n7v,1
cl6iwdzj,u6iy9n7v,-1
5y5w27n8,u6iy9n7v,1
pv34xizl,u6iy9n7v,0
qtd4nwnf,u6iy9n7v,0
m36p5uu7,u6iy9n7v,0
vnnwzoon,u6iy9n7v,0
8qy1knb8,u6iy9n7v,0
ohv0c981,u6iy9n7v,0
tpx46qea,u6iy9n7v,1
469aazzl,u6iy9n7v,0
ny7i65xf,u6iy9n7v,0
e442rd3v,ttgp5d1q,-1
gauukniy,ttgp5d1q,0
zan8z6cj,ttgp5d1q,0
xxkx1e1g,ttgp5d1q,1
299wzuz4,ttgp5d1q,1
wo215i77,ttgp5d1q,1
cl6iwdzj,ttgp5d1q,1
5y5w27n8,ttgp5d1q,1
pv34xizl,ttgp5d1q,0
qtd4nwnf,ttgp5d1q,0
m36p5uu7,ttgp5d1q,1
vnnwzoon,ttgp5d1q,1
8qy1knb8,ttgp5d1q,0
ohv0c981,ttgp5d1q,1
tpx46qea,ttgp5d1q,1
469aazzl,ttgp5d1q,0
ny7i65xf,ttgp5d1q,0
e442rd3v,zo8vfvom,1
gauukniy,zo8vfvom,1
zan8z6cj,zo8vfvom,0
xxkx1e1g,zo8vfvom,0
299wzuz4,zo8vfvom,1
wo215i77,zo8vfvom,1
cl6iwdzj,zo8vfvom,1
5y5w27n8,zo8vfvom,1
pv34xizl,zo8vfvom,1
qtd4nwnf,zo8vfvom,1
m36p5uu7,zo8vfvom,1
vnnwzoon,zo8vfvom,1
8qy1knb8,zo8vfvom,0
ohv0c981,zo8vfvom,0
tpx46qea,zo8vfvom,1
469aazzl,zo8vfvom,1
ny7i65xf,zo8vfvom,0
e442rd3v,299wzuz4,1
gauukniy,299wzuz4,1
zan8z6cj,299wzuz4,1
xxkx1e1g,299wzuz4,1
299wzuz4,299wzuz4,0
wo215i77,299wzuz4,1
cl6iwdzj,299wzuz4,0
5y5w27n8,299wzuz4,1
pv34xizl,299wzuz4,1
qtd4nwnf,299wzuz4,1
m36p5uu7,299wzuz4,1
vnnwzoon,299wzuz4,1
8qy1knb8,299wzuz4,0
we8zkaxp,299wzuz4,1
ohv0c981,299wzuz4,0
tpx46qea,299wzuz4,1
469aazzl,299wzuz4,1
ny7i65xf,299wzuz4,0
e442rd3v,m36p5uu7,1
gauukniy,m36p5uu7,1
zan8z6cj,m36p5uu7,1
xxkx1e1g,m36p5uu7,0
299wzuz4,m36p5uu7,1
wo215i77,m36p5uu7,1
cl6iwdzj,m36p5uu7,1
5y5w27n8,m36p5uu7,1
pv34xizl,m36p5uu7,1
qtd4nwnf,m36p5uu7,1
m36p5uu7,m36p5uu7,0
8qy1knb8,m36p5uu7,1
we8zkaxp,m36p5uu7,1
ohv0c981,m36p5uu7,-1
tpx46qea,m36p5uu7,1
469aazzl,m36p5uu7,1
ny7i65xf,m36p5uu7,0
e442rd3v,qtd4nwnf,0
gauukniy,qtd4nwnf,1
zan8z6cj,qtd4nwnf,1
xxkx1e1g,qtd4nwnf,1
299wzuz4,qtd4nwnf,1
wo215i77,qtd4nwnf,1
cl6iwdzj,qtd4nwnf,1
5y5w27n8,qtd4nwnf,1
pv34xizl,qtd4nwnf,1
qtd4nwnf,qtd4nwnf,1
m36p5uu7,qtd4nwnf,1
vnnwzoon,qtd4nwnf,1
8qy1knb8,qtd4nwnf,1
we8zkaxp,qtd4nwnf,1
ohv0c981,qtd4nwnf,0
tpx46qea,qtd4nwnf,1
469aazzl,qtd4nwnf,1
ny7i65xf,qtd4nwnf,0
e442rd3v,wp4300ik,0
gauukniy,wp4300ik,1
zan8z6cj,wp4300ik,0
xxkx1e1g,wp4300ik,1
299wzuz4,wp4300ik,0
wo215i77,wp4300ik,1
cl6iwdzj,wp4300ik,0
5y5w27n8,wp4300ik,1
pv34xizl,wp4300ik,0
qtd4nwnf,wp4300ik,1
m36p5uu7,wp4300ik,1
vnnwzoon,wp4300ik,0
8qy1knb8,wp4300ik,-1
we8zkaxp,wp4300ik,0
ohv0c981,wp4300ik,0
tpx46qea,wp4300ik,-1
469aazzl,wp4300ik,0
ny7i65xf,wp4300ik,0
e442rd3v,b98i0q0c,1
gauukniy,b98i0q0c,1
zan8z6cj,b98i0q0c,1
xxkx1e1g,b98i0q0c,1
299wzuz4,b98i0q0c,1
wo215i77,b98i0q0c,1
cl6iwdzj,b98i0q0c,1
5y5w27n8,b98i0q0c,1
pv34xizl,b98i0q0c,1
qtd4nwnf,b98i0q0c,1
m36p5uu7,b98i0q0c,1
vnnwzoon,b98i0q0c,1
8qy1knb8,b98i0q0c,1
we8zkaxp,b98i0q0c,1
ohv0c981,b98i0q0c,1
tpx46qea,b98i0q0c,1
469aazzl,b98i0q0c,1
ny7i65xf,b98i0q0c,1
e442rd3v,wz29onlw,0
gauukniy,wz29onlw,0
zan8z6cj,wz29onlw,0
xxkx1e1g,wz29onlw,1
299wzuz4,wz29onlw,0
wo215i77,wz29onlw,1
cl6iwdzj,wz29onlw,-1
5y5w27n8,wz29onlw,1
pv34xizl,wz29onlw,1
qtd4nwnf,wz29onlw,0
m36p5uu7,wz29onlw,1
vnnwzoon,wz29onlw,0
8qy1knb8,wz29onlw,0
we8zkaxp,wz29onlw,0
ohv0c981,wz29onlw,-1
tpx46qea,wz29onlw,1
469aazzl,wz29onlw,0
ny7i65xf,wz29onlw,0
e442rd3v,23mbj83y,-1
gauukniy,23mbj83y,-1
zan8z6cj,23mbj83y,-1
xxkx1e1g,23mbj83y,0
299wzuz4,23mbj83y,1
wo215i77,23mbj83y,0
cl6iwdzj,23mbj83y,-1
5y5w27n8,23mbj83y,1
pv34xizl,23mbj83y,0
qtd4nwnf,23mbj83y,-1
m36p5uu7,23mbj83y,-1
vnnwzoon,23mbj83y,-1
8qy1knb8,23mbj83y,1
we8zkaxp,23mbj83y,0
ohv0c981,23mbj83y,0
tpx46qea,23mbj83y,1
469aazzl,23mbj83y,0
ny7i65xf,23mbj83y,0
e442rd3v,nxb120ab,0
gauukniy,nxb120ab,-1
zan8z6cj,nxb120ab,-1
xxkx1e1g,nxb120ab,1
299wzuz4,nxb120ab,1
wo215i77,nxb120ab,0
cl6iwdzj,nxb120ab,1
5y5w27n8,nxb120ab,1
pv34xizl,nxb120ab,0
qtd4nwnf,nxb120ab,1
m36p5uu7,nxb120ab,1
vnnwzoon,nxb120ab,0
ohv0c981,nxb120ab,0
tpx46qea,nxb120ab,1
469aazzl,nxb120ab,1
ny7i65xf,nxb120ab,0
e442rd3v,ezfvh1yd,1
gauukniy,ezfvh1yd,1
zan8z6cj,ezfvh1yd,0
xxkx1e1g,ezfvh1yd,1
299wzuz4,ezfvh1yd,1
wo215i77,ezfvh1yd,0
cl6iwdzj,ezfvh1yd,-1
5y5w27n8,ezfvh1yd,1
pv34xizl,ezfvh1yd,0
qtd4nwnf,ezfvh1yd,1
m36p5uu7,ezfvh1yd,1
vnnwzoon,ezfvh1yd,1
ohv0c981,ezfvh1yd,1
tpx46qea,ezfvh1yd,1
469aazzl,ezfvh1yd,0
ny7i65xf,ezfvh1yd,0
e442rd3v,xxkx1e1g,0
gauukniy,xxkx1e1g,1
zan8z6cj,xxkx1e1g,0
xxkx1e1g,xxkx1e1g,1
299wzuz4,xxkx1e1g,0
wo215i77,xxkx1e1g,1
cl6iwdzj,xxkx1e1g,1
5y5w27n8,xxkx1e1g,1
pv34xizl,xxkx1e1g,0
qtd4nwnf,xxkx1e1g,1
m36p5uu7,xxkx1e1g,0
vnnwzoon,xxkx1e1g,1
8qy1knb8,xxkx1e1g,1
we8zkaxp,xxkx1e1g,1
ohv0c981,xxkx1e1g,0
tpx46qea,xxkx1e1g,0
469aazzl,xxkx1e1g,1
ny7i65xf,xxkx1e1g,1
e442rd3v,ohv0c981,0
gauukniy,ohv0c981,1
zan8z6cj,ohv0c981,1
xxkx1e1g,ohv0c981,1
299wzuz4,ohv0c981,1
wo215i77,ohv0c981,1
cl6iwdzj,ohv0c981,0
5y5w27n8,ohv0c981,1
pv34xizl,ohv0c981,1
qtd4nwnf,ohv0c981,1
m36p5uu7,ohv0c981,0
vnnwzoon,ohv0c981,1
8qy1knb8,ohv0c981,1
we8zkaxp,ohv0c981,1
tpx46qea,ohv0c981,1
469aazzl,ohv0c981,1
ny7i65xf,ohv0c981,0
e442rd3v,ywj7r6yv,1
gauukniy,ywj7r6yv,1
zan8z6cj,ywj7r6yv,0
xxkx1e1g,ywj7r6yv,1
299wzuz4,ywj7r6yv,1
wo215i77,ywj7r6yv,1
cl6iwdzj,ywj7r6yv,1
5y5w27n8,ywj7r6yv,1
pv34xizl,ywj7r6yv,0
qtd4nwnf,ywj7r6yv,0
m36p5uu7,ywj7r6yv,1
vnnwzoon,ywj7r6yv,0
we8zkaxp,ywj7r6yv,0
ohv0c981,ywj7r6yv,1
tpx46qea,ywj7r6yv,0
469aazzl,ywj7r6yv,1
ny7i65xf,ywj7r6yv,0
e442rd3v,zhncnrqh,-1
gauukniy,zhncnrqh,1
zan8z6cj,zhncnrqh,0
xxkx1e1g,zhncnrqh,0
299wzuz4,zhncnrqh,0
wo215i77,zhncnrqh,0
cl6iwdzj,zhncnrqh,1
5y5w27n8,zhncnrqh,1
pv34xizl,zhncnrqh,1
qtd4nwnf,zhncnrqh,1
m36p5uu7,zhncnrqh,1
vnnwzoon,zhncnrqh,1
8qy1knb8,zhncnrqh,1
we8zkaxp,zhncnrqh,0
ohv0c981,zhncnrqh,1
tpx46qea,zhncnrqh,1
469aazzl,zhncnrqh,0
ny7i65xf,zhncnrqh,0
e442rd3v,zan8z6cj,-1
gauukniy,zan8z6cj,1
zan8z6cj,zan8z6cj,1
xxkx1e1g,zan8z6cj,1
299wzuz4,zan8z6cj,1
wo215i77,zan8z6cj,1
cl6iwdzj,zan8z6cj,1
5y5w27n8,zan8z6cj,1
pv34xizl,zan8z6cj,1
qtd4nwnf,zan8z6cj,1
m36p5uu7,zan8z6cj,1
vnnwzoon,zan8z6cj,1
8qy1knb8,zan8z6cj,1
we8zkaxp,zan8z6cj,1
ohv0c981,zan8z6cj,-1
tpx46qea,zan8z6cj,0
469aazzl,zan8z6cj,1
ny7i65xf,zan8z6cj,0
e442rd3v,js5eao29,0
gauukniy,js5eao29,1
zan8z6cj,js5eao29,1
xxkx1e1g,js5eao29,1
299wzuz4,js5eao29,1
wo215i77,js5eao29,1
cl6iwdzj,js5eao29,0
5y5w27n8,js5eao29,1
pv34xizl,js5eao29,1
qtd4nwnf,js5eao29,1
m36p5uu7,js5eao29,1
vnnwzoon,js5eao29,0
8qy1knb8,js5eao29,1
we8zkaxp,js5eao29,0
ohv0c981,js5eao29,0
tpx46qea,js5eao29,1
469aazzl,js5eao29,1
ny7i65xf,js5eao29,0
e442rd3v,0ty8p249,0
gauukniy,0ty8p249,0
zan8z6cj,0ty8p249,1
xxkx1e1g,0ty8p249,1
299wzuz4,0ty8p249,0
wo215i77,0ty8p249,1
cl6iwdzj,0ty8p249,1
5y5w27n8,0ty8p249,1
pv34xizl,0ty8p249,0
qtd4nwnf,0ty8p249,1
m36p5uu7,0ty8p249,0
vnnwzoon,0ty8p249,1
8qy1knb8,0ty8p249,1
we8zkaxp,0ty8p249,1
ohv0c981,0ty8p249,0
tpx46qea,0ty8p249,1
469aazzl,0ty8p249,1
ny7i65xf,0ty8p249,0
e442rd3v,li1ct8kz,0
gauukniy,li1ct8kz,1
zan8z6cj,li1ct8kz,1
xxkx1e1g,li1ct8kz,0
299wzuz4,li1ct8kz,0
wo215i77,li1ct8kz,0
cl6iwdzj,li1ct8kz,-1
5y5w27n8,li1ct8kz,1
pv34xizl,li1ct8kz,0
qtd4nwnf,li1ct8kz,0
m36p5uu7,li1ct8kz,-1
vnnwzoon,li1ct8kz,-1
we8zkaxp,li1ct8kz,1
ohv0c981,li1ct8kz,1
tpx46qea,li1ct8kz,-1
469aazzl,li1ct8kz,1
ny7i65xf,li1ct8kz,0
e442rd3v,8qkm4op5,-1
gauukniy,8qkm4op5,1
zan8z6cj,8qkm4op5,0
xxkx1e1g,8qkm4op5,1
299wzuz4,8qkm4op5,1
wo215i77,8qkm4op5,1
cl6iwdzj,8qkm4op5,0
5y5w27n8,8qkm4op5,1
pv34xizl,8qkm4op5,0
qtd4nwnf,8qkm4op5,-1
m36p5uu7,8qkm4op5,1
vnnwzoon,8qkm4op5,1
we8zkaxp,8qkm4op5,1
ohv0c981,8qkm4op5,0
tpx46qea,8qkm4op5,1
469aazzl,8qkm4op5,1
ny7i65xf,8qkm4op5,0
e442rd3v,zcuavqv2,-1
gauukniy,zcuavqv2,1
zan8z6cj,zcuavqv2,1
xxkx1e1g,zcuavqv2,1
299wzuz4,zcuavqv2,1
wo215i77,zcuavqv2,1
cl6iwdzj,zcuavqv2,1
5y5w27n8,zcuavqv2,1
pv34xizl,zcuavqv2,1
qtd4nwnf,zcuavqv2,1
m36p5uu7,zcuavqv2,1
vnnwzoon,zcuavqv2,1
8qy1knb8,zcuavqv2,1
we8zkaxp,zcuavqv2,1
ohv0c981,zcuavqv2,1
tpx46qea,zcuavqv2,1
469aazzl,zcuavqv2,1
ny7i65xf,zcuavqv2,1
e442rd3v,dlpw2qhs,0
gauukniy,dlpw2qhs,0
zan8z6cj,dlpw2qhs,0
xxkx1e1g,dlpw2qhs,0
299wzuz4,dlpw2qhs,1
wo215i77,dlpw2qhs,0
cl6iwdzj,dlpw2qhs,-1
5y5w27n8,dlpw2qhs,0
pv34xizl,dlpw2qhs,0
