from,to
fake0,2gm2vp7w
NA,NA
fake,NA
ny7i65xf,39grl1tb
0ty8p249,kffjpkwm
wo215i77,0ty8p249
NA,NA
we8zkaxp,kffjpkwm
8qy1knb8,guoa029e
469aazzl,guoa029e
vnnwzoon,guoa029e
kffjpkwm,0ty8p249
y68rafkq,isrmkgxn
cg5akdum,ezfvh1yd
39grl1tb,yyx7zv50
cl6iwdzj,kffjpkwm
fyzi3ukn,lvtt31qo
lvtt31qo,b98i0q0c
yyx7zv50,39grl1tb
e1h602xs,yyx7zv50
guoa029e,469aazzl
xxkx1e1g,39grl1tb
ezfvh1yd,cg5akdum
zan8z6cj,299wzuz4
isrmkgxn,9njhgqjt
9g3466ce,m36p5uu7
ctvn5bcc,2gm2vp7w
b98i0q0c,NA
NA,NA
rmdv0zae,e442rd3v
5y5w27n8,cg5akdum
b98i0q0c,NA
e442rd3v,2gm2vp7w
gcfrvnrq,NA
9njhgqjt,b8h8uy0d
b8h8uy0d,y68rafkq
8qkm4op5,m36p5uu7
NA,NA
qtd4nwnf,m36p5uu7
tpx46qea,zo8vfvom
js5eao29,ttgp5d1q
pv34xizl,ttgp5d1q
zo8vfvom,tpx46qea
nxb120ab,tpx46qea
ywj7r6yv,tpx46qea
ky74qsy5,u6iy9n7v
u6iy9n7v,ky74qsy5
ttgp5d1q,js5eao29
rsqgxgj7,u6iy9n7v
23mbj83y,100
100,NA
w76lz2ap,ttgp5d1q
fake0,NA
NA,NA
fake,NA
ny7i65xf,yyx7zv50
0ty8p249,we8zkaxp
wo215i77,kffjpkwm
NA,NA
we8zkaxp,0ty8p249
8qy1knb8,469aazzl
469aazzl,8qy1knb8
vnnwzoon,469aazzl
kffjpkwm,wo215i77
y68rafkq,b8h8uy0d
cg5akdum,5y5w27n8
39grl1tb,xxkx1e1g
cl6iwdzj,we8zkaxp
fyzi3ukn,b98i0q0c
lvtt31qo,299wzuz4
yyx7zv50,xxkx1e1g
e1h602xs,39grl1tb
guoa029e,8qy1knb8
xxkx1e1g,yyx7zv50
ezfvh1yd,5y5w27n8
zan8z6cj,lvtt31qo
isrmkgxn,b8h8uy0d
9g3466ce,qtd4nwnf
ctvn5bcc,o42b386c
b98i0q0c,NA
NA,NA
rmdv0zae,ctvn5bcc
5y5w27n8,ezfvh1yd
b98i0q0c,NA
e442rd3v,ctvn5bcc
gcfrvnrq,NA
9njhgqjt,y68rafkq
b8h8uy0d,9njhgqjt
8qkm4op5,9g3466ce
NA,NA
qtd4nwnf,9g3466ce
tpx46qea,nxb120ab
js5eao29,w76lz2ap
pv34xizl,js5eao29
zo8vfvom,nxb120ab
nxb120ab,ywj7r6yv
ywj7r6yv,zo8vfvom
ky74qsy5,rsqgxgj7
u6iy9n7v,rsqgxgj7
ttgp5d1q,gcfrvnrq
rsqgxgj7,ky74qsy5
23mbj83y,NA
100,23mbj83y
w76lz2ap,js5eao29
fake0,299wzuz4
NA,NA
fake,NA
ny7i65xf,xxkx1e1g
0ty8p249,cl6iwdzj
wo215i77,we8zkaxp
NA,NA
we8zkaxp,wo215i77
8qy1knb8,vnnwzoon
469aazzl,vnnwzoon
vnnwzoon,8qy1knb8
kffjpkwm,cl6iwdzj
y68rafkq,9njhgqjt
cg5akdum,NA
39grl1tb,ny7i65xf
cl6iwdzj,0ty8p249
fyzi3ukn,zan8z6cj
lvtt31qo,zan8z6cj
yyx7zv50,e1h602xs
e1h602xs,xxkx1e1g
guoa029e,vnnwzoon
xxkx1e1g,ny7i65xf
ezfvh1yd,NA
zan8z6cj,b98i0q0c
isrmkgxn,y68rafkq
9g3466ce,8qkm4op5
ctvn5bcc,e442rd3v
b98i0q0c,NA
NA,NA
rmdv0zae,nxb120ab
5y5w27n8,NA
b98i0q0c,NA
e442rd3v,o42b386c
gcfrvnrq,NA
9njhgqjt,isrmkgxn
b8h8uy0d,isrmkgxn
8qkm4op5,qtd4nwnf
NA,NA
qtd4nwnf,8qkm4op5
tpx46qea,ywj7r6yv
js5eao29,gcfrvnrq
pv34xizl,w76lz2ap
zo8vfvom,ywj7r6yv
nxb120ab,zo8vfvom
ywj7r6yv,nxb120ab
ky74qsy5,NA
u6iy9n7v,NA
ttgp5d1q,w76lz2ap
rsqgxgj7,NA
23mbj83y,NA
100,NA
w76lz2ap,pv34xizl
fake0,qtd4nwnf
NA,NA
fake,NA
ny7i65xf,e1h602xs
0ty8p249,wo215i77
wo215i77,cl6iwdzj
NA,NA
we8zkaxp,cl6iwdzj
8qy1knb8,NA
469aazzl,NA
vnnwzoon,NA
kffjpkwm,we8zkaxp
y68rafkq,NA
cg5akdum,NA
39grl1tb,e1h602xs
cl6iwdzj,wo215i77
fyzi3ukn,299wzuz4
lvtt31qo,fyzi3ukn
yyx7zv50,ny7i65xf
e1h602xs,ny7i65xf
guoa029e,guoa029e
xxkx1e1g,e1h602xs
ezfvh1yd,NA
zan8z6cj,fyzi3ukn
isrmkgxn,isrmkgxn
9g3466ce,NA
ctvn5bcc,rmdv0zae
b98i0q0c,NA
NA,NA
rmdv0zae,o42b386c
5y5w27n8,NA
b98i0q0c,NA
e442rd3v,rmdv0zae
gcfrvnrq,NA
9njhgqjt,NA
b8h8uy0d,NA
8qkm4op5,NA
NA,NA
qtd4nwnf,NA
tpx46qea,NA
js5eao29,pv34xizl
pv34xizl,gcfrvnrq
zo8vfvom,NA
nxb120ab,nxb120ab
ywj7r6yv,NA
ky74qsy5,NA
u6iy9n7v,NA
ttgp5d1q,pv34xizl
rsqgxgj7,NA
23mbj83y,NA
100,NA
w76lz2ap,gcfrvnrq
fake0,fyzi3ukn
NA,NA
fake,NA
ny7i65xf,NA
0ty8p249,NA
wo215i77,NA
NA,NA
we8zkaxp,NA
8qy1knb8,NA
469aazzl,NA
vnnwzoon,NA
kffjpkwm,NA
y68rafkq,NA
cg5akdum,NA
39grl1tb,NA
cl6iwdzj,NA
fyzi3ukn,NA
lvtt31qo,NA
yyx7zv50,NA
e1h602xs,NA
guoa029e,NA
xxkx1e1g,NA
ezfvh1yd,NA
zan8z6cj,NA
isrmkgxn,NA
9g3466ce,NA
ctvn5bcc,NA
b98i0q0c,NA
NA,NA
rmdv0zae,NA
5y5w27n8,NA
b98i0q0c,NA
e442rd3v,NA
gcfrvnrq,NA
9njhgqjt,NA
b8h8uy0d,NA
8qkm4op5,NA
NA,NA
qtd4nwnf,NA
tpx46qea,NA
js5eao29,NA
pv34xizl,NA
zo8vfvom,NA
nxb120ab,NA
ywj7r6yv,NA
ky74qsy5,NA
u6iy9n7v,NA
ttgp5d1q,NA
rsqgxgj7,NA
23mbj83y,NA
100,NA
w76lz2ap,NA
