Group,ID1,ID2,TotalMax,TotalGroup,SameWords,UniqueWords,SimilarityRatio,DiversityRatio,CollectiveBenefit,CollectiveBenefitHard,TotalMax_r3,UniqueWords_r3,SimilarityRatio_r3,DiversityRatio_r3,Participant,TotalP1_r3,TotalP2_r3,Total,TotalP1,TotalP2,Total_r3,IndividualChange
1701,euXQGFGfc,gj6PxQbd6,51,28,9,52,0.19607843137254902,5.777777777777778,0.5490196078431373,0.5384615384615384,54,54,0.37037037037037035,3.375,P1,54,20,51,51,10,54,1.0588235294117647
1701,euXQGFGfc,gj6PxQbd6,51,28,9,52,0.19607843137254902,5.777777777777778,0.5490196078431373,0.5384615384615384,54,54,0.37037037037037035,3.375,P2,54,20,10,51,10,20,2
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,NA,NA,NA,70,65,0.5285714285714286,2.4074074074074074,P1,70,37,23,23,NA,70,3.0434782608695654
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,NA,NA,NA,70,65,0.5285714285714286,2.4074074074074074,P2,70,37,NA,23,NA,37,NA
1703,vBBoGYb80,t7SNYioUo,17,24,7,25,0.9411764705882353,3.5714285714285716,1.411764705882353,0.96,NA,30,NA,NA,P1,NA,34,17,17,16,NA,NA
1703,vBBoGYb80,t7SNYioUo,17,24,7,25,0.9411764705882353,3.5714285714285716,1.411764705882353,0.96,NA,30,NA,NA,P2,NA,34,16,17,16,34,2.125
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,33,0.88,3.6666666666666665,1.04,0.7878787878787878,NA,25,NA,NA,P1,NA,29,22,22,25,NA,NA
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,33,0.88,3.6666666666666665,1.04,0.7878787878787878,NA,25,NA,NA,P2,NA,29,25,22,25,29,1.16
1705,t2YVPYZKE,GByx75rHq,33,28,16,40,0.8787878787878788,2.5,0.8484848484848485,0.7,65,66,0.6615384615384615,1.8333333333333333,P1,65,43,29,29,33,65,2.2413793103448274
1705,t2YVPYZKE,GByx75rHq,33,28,16,40,0.8787878787878788,2.5,0.8484848484848485,0.7,65,66,0.6615384615384615,1.8333333333333333,P2,65,43,33,29,33,43,1.303030303030303
1706,M111a0ZQl,BgxfF433q,44,40,18,60,0.8636363636363636,3.3333333333333335,0.9090909090909091,0.6666666666666666,52,55,0.9615384615384616,1.6176470588235294,P1,50,52,44,44,38,50,1.1363636363636365
1706,M111a0ZQl,BgxfF433q,44,40,18,60,0.8636363636363636,3.3333333333333335,0.9090909090909091,0.6666666666666666,52,55,0.9615384615384616,1.6176470588235294,P2,50,52,38,44,38,52,1.368421052631579
1707,RvTIw5pYa,sf66omHEV,31,39,8,41,0.8387096774193549,5.125,1.2580645161290323,0.9512195121951219,56,64,0.9464285714285714,1.7297297297297298,P1,56,53,26,26,31,56,2.1538461538461537
1707,RvTIw5pYa,sf66omHEV,31,39,8,41,0.8387096774193549,5.125,1.2580645161290323,0.9512195121951219,56,64,0.9464285714285714,1.7297297297297298,P2,56,53,31,26,31,53,1.7096774193548387
1708,ylyjJTtUa,pMkk89CN2,51,42,12,51,0.3333333333333333,4.25,0.8235294117647058,0.8235294117647058,78,75,0.5384615384615384,2.5,P1,42,78,17,17,51,42,2.4705882352941178
1708,ylyjJTtUa,pMkk89CN2,51,42,12,51,0.3333333333333333,4.25,0.8235294117647058,0.8235294117647058,78,75,0.5384615384615384,2.5,P2,42,78,51,17,51,78,1.5294117647058822
1709,TOuPABJpH,c97gMUcQ6,41,34,19,56,1,2.9473684210526314,0.8292682926829268,0.6071428571428571,70,65,0.7428571428571429,1.4444444444444444,P1,70,52,41,41,41,70,1.7073170731707317
1709,TOuPABJpH,c97gMUcQ6,41,34,19,56,1,2.9473684210526314,0.8292682926829268,0.6071428571428571,70,65,0.7428571428571429,1.4444444444444444,P2,70,52,41,41,41,52,1.2682926829268293
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,47,0.9696969696969697,3.1333333333333333,0.9090909090909091,0.6382978723404256,61,66,0.8032786885245902,2,P1,49,61,33,33,32,49,1.4848484848484849
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,47,0.9696969696969697,3.1333333333333333,0.9090909090909091,0.6382978723404256,61,66,0.8032786885245902,2,P2,49,61,32,33,32,61,1.90625
1711,7kFJxdmGu,x1KRHt166,47,31,9,55,0.425531914893617,6.111111111111111,0.6595744680851063,0.5636363636363636,68,62,0.6470588235294118,1.7714285714285714,P1,44,68,20,20,47,44,2.2
1711,7kFJxdmGu,x1KRHt166,47,31,9,55,0.425531914893617,6.111111111111111,0.6595744680851063,0.5636363636363636,68,62,0.6470588235294118,1.7714285714285714,P2,44,68,47,20,47,68,1.446808510638298
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,46,0.45454545454545453,3.066666666666667,0.8181818181818182,0.782608695652174,71,79,0.6619718309859155,2.7241379310344827,P1,47,71,20,20,44,47,2.35
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,46,0.45454545454545453,3.066666666666667,0.8181818181818182,0.782608695652174,71,79,0.6619718309859155,2.7241379310344827,P2,47,71,44,20,44,71,1.6136363636363635
1713,req8mooHO,EqVAWGoFs,31,33,16,43,0.967741935483871,2.6875,1.064516129032258,0.7674418604651163,67,68,0.7164179104477612,2.125,P1,48,67,30,30,31,48,1.6
1713,req8mooHO,EqVAWGoFs,31,33,16,43,0.967741935483871,2.6875,1.064516129032258,0.7674418604651163,67,68,0.7164179104477612,2.125,P2,48,67,31,30,31,67,2.161290322580645
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,69,0.19402985074626866,6.2727272727272725,0.5074626865671642,0.4927536231884058,NA,NA,NA,NA,P1,NA,NA,13,13,67,NA,NA
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,69,0.19402985074626866,6.2727272727272725,0.5074626865671642,0.4927536231884058,NA,NA,NA,NA,P2,NA,NA,67,13,67,NA,NA
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,44,0.9666666666666667,2.933333333333333,0.9666666666666667,0.6590909090909091,NA,59,NA,NA,P1,NA,59,29,29,30,NA,NA
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,44,0.9666666666666667,2.933333333333333,0.9666666666666667,0.6590909090909091,NA,59,NA,NA,P2,NA,59,30,29,30,59,1.9666666666666666
1803,7crs1fOkT,qq94SZKTE,40,26,15,40,0.375,2.6666666666666665,0.65,0.65,NA,NA,NA,NA,P1,NA,NA,40,40,15,NA,NA
1803,7crs1fOkT,qq94SZKTE,40,26,15,40,0.375,2.6666666666666665,0.65,0.65,NA,NA,NA,NA,P2,NA,NA,15,40,15,NA,NA
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,39,1,5.571428571428571,1.6521739130434783,0.9743589743589743,NA,39,NA,NA,P1,NA,39,23,23,23,NA,NA
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,39,1,5.571428571428571,1.6521739130434783,0.9743589743589743,NA,39,NA,NA,P2,NA,39,23,23,23,39,1.6956521739130435
1804,bLCUDUd68,jHzBZKMFu,27,36,11,35,0.7037037037037037,3.1818181818181817,1.3333333333333333,1.0285714285714285,NA,NA,NA,NA,P1,NA,NA,19,19,27,NA,NA
1804,bLCUDUd68,jHzBZKMFu,27,36,11,35,0.7037037037037037,3.1818181818181817,1.3333333333333333,1.0285714285714285,NA,NA,NA,NA,P2,NA,NA,27,19,27,NA,NA
1804,FTqlf4xKs,FveWVbs8s,35,37,16,53,0.9714285714285714,3.3125,1.0571428571428572,0.6981132075471698,NA,NA,NA,NA,P1,NA,NA,35,35,34,NA,NA
1804,FTqlf4xKs,FveWVbs8s,35,37,16,53,0.9714285714285714,3.3125,1.0571428571428572,0.6981132075471698,NA,NA,NA,NA,P2,NA,NA,34,35,34,NA,NA
1805,f78i5b8mR,ilfs9q7JB,26,22,7,44,0.9615384615384616,6.285714285714286,0.8461538461538461,0.5,NA,41,NA,NA,P1,41,NA,26,26,25,41,1.5769230769230769
1805,f78i5b8mR,ilfs9q7JB,26,22,7,44,0.9615384615384616,6.285714285714286,0.8461538461538461,0.5,NA,41,NA,NA,P2,41,NA,25,26,25,NA,NA
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,42,0.75,3,0.625,0.47619047619047616,NA,35,NA,NA,P1,35,NA,24,24,32,35,1.4583333333333333
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,42,0.75,3,0.625,0.47619047619047616,NA,35,NA,NA,P2,35,NA,32,24,32,NA,NA
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,34,0.9545454545454546,3.7777777777777777,1.2727272727272727,0.8235294117647058,NA,NA,NA,NA,P1,NA,NA,22,22,21,NA,NA
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,34,0.9545454545454546,3.7777777777777777,1.2727272727272727,0.8235294117647058,NA,NA,NA,NA,P2,NA,NA,21,22,21,NA,NA
1807,P23HcAJhe,3QE2Q43DE,32,22,5,36,0.28125,7.2,0.6875,0.6111111111111112,NA,42,NA,NA,P1,42,NA,32,32,9,42,1.3125
1807,P23HcAJhe,3QE2Q43DE,32,22,5,36,0.28125,7.2,0.6875,0.6111111111111112,NA,42,NA,NA,P2,42,NA,9,32,9,NA,NA
1808,9WK6OMS78,P7DasbZIa,42,21,8,48,0.3333333333333333,6,0.5,0.4375,NA,44,NA,NA,P1,44,NA,14,14,42,44,3.142857142857143
1808,9WK6OMS78,P7DasbZIa,42,21,8,48,0.3333333333333333,6,0.5,0.4375,NA,44,NA,NA,P2,44,NA,42,14,42,NA,NA
1809,Nfy3haUtj,47EmgDqS8,20,23,6,32,0.9,5.333333333333333,1.15,0.71875,NA,NA,NA,NA,P1,NA,NA,20,20,18,NA,NA
1809,Nfy3haUtj,47EmgDqS8,20,23,6,32,0.9,5.333333333333333,1.15,0.71875,NA,NA,NA,NA,P2,NA,NA,18,20,18,NA,NA
1810,f66Hq0xgM,MOkjY9mef,27,39,13,38,0.8888888888888888,2.923076923076923,1.4444444444444444,1.0263157894736843,NA,NA,NA,NA,P1,NA,NA,24,24,27,NA,NA
1810,f66Hq0xgM,MOkjY9mef,27,39,13,38,0.8888888888888888,2.923076923076923,1.4444444444444444,1.0263157894736843,NA,NA,NA,NA,P2,NA,NA,27,24,27,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,NA,NA,NA,NA,20,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,NA,NA,20,NA,20,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,61,0.6666666666666666,3.210526315789474,0.9583333333333334,0.7540983606557377,NA,NA,NA,NA,P1,NA,NA,32,32,48,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,61,0.6666666666666666,3.210526315789474,0.9583333333333334,0.7540983606557377,NA,NA,NA,NA,P2,NA,NA,48,32,48,NA,NA
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,23,0.35,5.75,1.35,1.173913043478261,40,47,0.55,3.1333333333333333,P1,22,40,7,7,20,22,3.142857142857143
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,23,0.35,5.75,1.35,1.173913043478261,40,47,0.55,3.1333333333333333,P2,22,40,20,7,20,40,2
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,NA,NA,NA,NA,NA,NA,NA
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2,NA,NA,NA,NA,NA,NA,NA
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,40,0.4838709677419355,6.666666666666667,0.5161290322580645,0.4,21,32,0.7142857142857143,8,P1,21,15,31,31,15,21,0.6774193548387096
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,40,0.4838709677419355,6.666666666666667,0.5161290322580645,0.4,21,32,0.7142857142857143,8,P2,21,15,15,31,15,15,1
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,50,0.6388888888888888,5.555555555555555,0.5833333333333334,0.42,41,57,0.8292682926829268,3.1666666666666665,P1,34,41,36,36,23,34,0.9444444444444444
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,50,0.6388888888888888,5.555555555555555,0.5833333333333334,0.42,41,57,0.8292682926829268,3.1666666666666665,P2,34,41,23,36,23,41,1.7826086956521738
2105,K56cni2Qy,0Zft13QsF,24,46,8,39,0.9583333333333334,4.875,1.9166666666666667,1.1794871794871795,52,71,0.9423076923076923,2.3666666666666667,P1,49,52,24,24,23,49,2.0416666666666665
2105,K56cni2Qy,0Zft13QsF,24,46,8,39,0.9583333333333334,4.875,1.9166666666666667,1.1794871794871795,52,71,0.9423076923076923,2.3666666666666667,P2,49,52,23,24,23,52,2.260869565217391
2106,SCekAduEx,H31e76Sl4,12,12,6,14,0.6666666666666666,2.3333333333333335,1,0.8571428571428571,12,20,0.9166666666666666,6.666666666666667,P1,11,12,12,12,8,11,0.9166666666666666
2106,SCekAduEx,H31e76Sl4,12,12,6,14,0.6666666666666666,2.3333333333333335,1,0.8571428571428571,12,20,0.9166666666666666,6.666666666666667,P2,11,12,8,12,8,12,1.5
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.68,47,65,0.8297872340425532,3.0952380952380953,P1,47,39,26,26,35,47,1.8076923076923077
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.68,47,65,0.8297872340425532,3.0952380952380953,P2,47,39,35,26,35,39,1.1142857142857143
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,22,0.625,5.5,2.25,1.6363636363636365,58,64,0.6896551724137931,1.8823529411764706,P1,58,40,16,16,10,58,3.625
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,22,0.625,5.5,2.25,1.6363636363636365,58,64,0.6896551724137931,1.8823529411764706,P2,58,40,10,16,10,40,4
2109,0OejK6YU5,2jLd1LMv7,16,23,4,23,0.6875,5.75,1.4375,1,21,29,0.6190476190476191,5.8,P1,21,13,16,16,11,21,1.3125
2109,0OejK6YU5,2jLd1LMv7,16,23,4,23,0.6875,5.75,1.4375,1,21,29,0.6190476190476191,5.8,P2,21,13,11,16,11,13,1.1818181818181819
2110,n3eqy99gW,lLq4FpFkm,29,34,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.8947368421052632,39,51,0.8974358974358975,2.217391304347826,P1,39,35,15,15,29,39,2.6
2110,n3eqy99gW,lLq4FpFkm,29,34,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.8947368421052632,39,51,0.8974358974358975,2.217391304347826,P2,39,35,29,15,29,35,1.206896551724138
2111,LYNLIZcfa,cSglstp8y,26,29,4,32,0.38461538461538464,8,1.1153846153846154,0.90625,21,37,0.9523809523809523,9.25,P1,21,20,26,26,10,21,0.8076923076923077
2111,LYNLIZcfa,cSglstp8y,26,29,4,32,0.38461538461538464,8,1.1153846153846154,0.90625,21,37,0.9523809523809523,9.25,P2,21,20,10,26,10,20,2
2112,B2VGhAwDm,6faZqFCbq,24,25,5,31,0.5,6.2,1.0416666666666667,0.8064516129032258,30,36,0.7666666666666667,2.1176470588235294,P1,23,30,12,12,24,23,1.9166666666666667
2112,B2VGhAwDm,6faZqFCbq,24,25,5,31,0.5,6.2,1.0416666666666667,0.8064516129032258,30,36,0.7666666666666667,2.1176470588235294,P2,23,30,24,12,24,30,1.25
2113,tyzuRfdEP,P26rEcvgh,22,34,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,1.096774193548387,52,63,0.75,2.25,P1,52,39,22,22,15,52,2.3636363636363638
2113,tyzuRfdEP,P26rEcvgh,22,34,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,1.096774193548387,52,63,0.75,2.25,P2,52,39,15,22,15,39,2.6
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,52,0.8947368421052632,2.6,1.5789473684210527,1.1538461538461537,74,86,0.6486486486486487,2.388888888888889,P1,74,48,38,38,34,74,1.9473684210526316
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,52,0.8947368421052632,2.6,1.5789473684210527,1.1538461538461537,74,86,0.6486486486486487,2.388888888888889,P2,74,48,34,38,34,48,1.411764705882353
