Group,ID1,ID2,TotalMax,TotalGroup,SameWords,CollectiveBenefit,CollectiveBenefitHard,TotalMax_r3,Participant,TotalP1_r3,TotalP2_r3,TotalP1,TotalP2,IndividualChange,Round,Total,SimilarityRatio,DiversityRatio,UniqueWords
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P1,54,20,51,10,1.0588235294117647,1,51,0.19607843137254902,5.777777777777778,52
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P1,54,20,51,10,1.0588235294117647,3,54,0.37037037037037035,3.375,54
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P2,54,20,51,10,2,1,10,0.19607843137254902,5.777777777777778,52
1701,euXQGFGfc,gj6PxQbd6,51,28,9,0.5490196078431373,0.5384615384615384,54,P2,54,20,51,10,2,3,20,0.37037037037037035,3.375,54
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P1,70,37,23,NA,3.0434782608695654,1,23,NA,NA,NA
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P1,70,37,23,NA,3.0434782608695654,3,70,0.5285714285714286,2.4074074074074074,65
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P2,70,37,23,NA,NA,1,NA,NA,NA,NA
1702,SKyt2yBGC,TMo5J6rJu,NA,42,NA,NA,NA,70,P2,70,37,23,NA,NA,3,37,0.5285714285714286,2.4074074074074074,65
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P1,NA,34,17,16,NA,1,17,0.9411764705882353,3.5714285714285716,25
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P1,NA,34,17,16,NA,3,NA,NA,NA,30
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P2,NA,34,17,16,2.125,1,16,0.9411764705882353,3.5714285714285716,25
1703,vBBoGYb80,t7SNYioUo,17,24,7,1.411764705882353,0.96,NA,P2,NA,34,17,16,2.125,3,34,NA,NA,30
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P1,NA,29,22,25,NA,1,22,0.88,3.6666666666666665,33
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P1,NA,29,22,25,NA,3,NA,NA,NA,25
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P2,NA,29,22,25,1.16,1,25,0.88,3.6666666666666665,33
1704,eU0gOUu0f,ZuC6duAFA,25,26,9,1.04,0.7878787878787878,NA,P2,NA,29,22,25,1.16,3,29,NA,NA,25
1705,t2YVPYZKE,GByx75rHq,33,28,16,0.8484848484848485,0.7,65,P1,65,43,29,33,2.2413793103448274,1,29,0.8787878787878788,2.5,40
1705,t2YVPYZKE,GByx75rHq,33,28,16,0.8484848484848485,0.7,65,P1,65,43,29,33,2.2413793103448274,3,65,0.6615384615384615,1.8333333333333333,66
1705,t2YVPYZKE,GByx75rHq,33,28,16,0.8484848484848485,0.7,65,P2,65,43,29,33,1.303030303030303,1,33,0.8787878787878788,2.5,40
1705,t2YVPYZKE,GByx75rHq,33,28,16,0.8484848484848485,0.7,65,P2,65,43,29,33,1.303030303030303,3,43,0.6615384615384615,1.8333333333333333,66
1706,M111a0ZQl,BgxfF433q,44,40,18,0.9090909090909091,0.6666666666666666,52,P1,50,52,44,38,1.1363636363636365,1,44,0.8636363636363636,3.3333333333333335,60
1706,M111a0ZQl,BgxfF433q,44,40,18,0.9090909090909091,0.6666666666666666,52,P1,50,52,44,38,1.1363636363636365,3,50,0.9615384615384616,1.6176470588235294,55
1706,M111a0ZQl,BgxfF433q,44,40,18,0.9090909090909091,0.6666666666666666,52,P2,50,52,44,38,1.368421052631579,1,38,0.8636363636363636,3.3333333333333335,60
1706,M111a0ZQl,BgxfF433q,44,40,18,0.9090909090909091,0.6666666666666666,52,P2,50,52,44,38,1.368421052631579,3,52,0.9615384615384616,1.6176470588235294,55
1707,RvTIw5pYa,sf66omHEV,31,39,8,1.2580645161290323,0.9512195121951219,56,P1,56,53,26,31,2.1538461538461537,1,26,0.8387096774193549,5.125,41
1707,RvTIw5pYa,sf66omHEV,31,39,8,1.2580645161290323,0.9512195121951219,56,P1,56,53,26,31,2.1538461538461537,3,56,0.9464285714285714,1.7297297297297298,64
1707,RvTIw5pYa,sf66omHEV,31,39,8,1.2580645161290323,0.9512195121951219,56,P2,56,53,26,31,1.7096774193548387,1,31,0.8387096774193549,5.125,41
1707,RvTIw5pYa,sf66omHEV,31,39,8,1.2580645161290323,0.9512195121951219,56,P2,56,53,26,31,1.7096774193548387,3,53,0.9464285714285714,1.7297297297297298,64
1708,ylyjJTtUa,pMkk89CN2,51,42,12,0.8235294117647058,0.8235294117647058,78,P1,42,78,17,51,2.4705882352941178,1,17,0.3333333333333333,4.25,51
1708,ylyjJTtUa,pMkk89CN2,51,42,12,0.8235294117647058,0.8235294117647058,78,P1,42,78,17,51,2.4705882352941178,3,42,0.5384615384615384,2.5,75
1708,ylyjJTtUa,pMkk89CN2,51,42,12,0.8235294117647058,0.8235294117647058,78,P2,42,78,17,51,1.5294117647058822,1,51,0.3333333333333333,4.25,51
1708,ylyjJTtUa,pMkk89CN2,51,42,12,0.8235294117647058,0.8235294117647058,78,P2,42,78,17,51,1.5294117647058822,3,78,0.5384615384615384,2.5,75
1709,TOuPABJpH,c97gMUcQ6,41,34,19,0.8292682926829268,0.6071428571428571,70,P1,70,52,41,41,1.7073170731707317,1,41,1,2.9473684210526314,56
1709,TOuPABJpH,c97gMUcQ6,41,34,19,0.8292682926829268,0.6071428571428571,70,P1,70,52,41,41,1.7073170731707317,3,70,0.7428571428571429,1.4444444444444444,65
1709,TOuPABJpH,c97gMUcQ6,41,34,19,0.8292682926829268,0.6071428571428571,70,P2,70,52,41,41,1.2682926829268293,1,41,1,2.9473684210526314,56
1709,TOuPABJpH,c97gMUcQ6,41,34,19,0.8292682926829268,0.6071428571428571,70,P2,70,52,41,41,1.2682926829268293,3,52,0.7428571428571429,1.4444444444444444,65
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,0.9090909090909091,0.6382978723404256,61,P1,49,61,33,32,1.4848484848484849,1,33,0.9696969696969697,3.1333333333333333,47
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,0.9090909090909091,0.6382978723404256,61,P1,49,61,33,32,1.4848484848484849,3,49,0.8032786885245902,2,66
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,0.9090909090909091,0.6382978723404256,61,P2,49,61,33,32,1.90625,1,32,0.9696969696969697,3.1333333333333333,47
1710,3oCPn2lZC,cF4q5aTzO,33,30,15,0.9090909090909091,0.6382978723404256,61,P2,49,61,33,32,1.90625,3,61,0.8032786885245902,2,66
1711,7kFJxdmGu,x1KRHt166,47,31,9,0.6595744680851063,0.5636363636363636,68,P1,44,68,20,47,2.2,1,20,0.425531914893617,6.111111111111111,55
1711,7kFJxdmGu,x1KRHt166,47,31,9,0.6595744680851063,0.5636363636363636,68,P1,44,68,20,47,2.2,3,44,0.6470588235294118,1.7714285714285714,62
1711,7kFJxdmGu,x1KRHt166,47,31,9,0.6595744680851063,0.5636363636363636,68,P2,44,68,20,47,1.446808510638298,1,47,0.425531914893617,6.111111111111111,55
1711,7kFJxdmGu,x1KRHt166,47,31,9,0.6595744680851063,0.5636363636363636,68,P2,44,68,20,47,1.446808510638298,3,68,0.6470588235294118,1.7714285714285714,62
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,0.8181818181818182,0.782608695652174,71,P1,47,71,20,44,2.35,1,20,0.45454545454545453,3.066666666666667,46
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,0.8181818181818182,0.782608695652174,71,P1,47,71,20,44,2.35,3,47,0.6619718309859155,2.7241379310344827,79
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,0.8181818181818182,0.782608695652174,71,P2,47,71,20,44,1.6136363636363635,1,44,0.45454545454545453,3.066666666666667,46
1712,hUuHG8IPG,RfcvQNdXg,44,36,15,0.8181818181818182,0.782608695652174,71,P2,47,71,20,44,1.6136363636363635,3,71,0.6619718309859155,2.7241379310344827,79
1713,req8mooHO,EqVAWGoFs,31,33,16,1.064516129032258,0.7674418604651163,67,P1,48,67,30,31,1.6,1,30,0.967741935483871,2.6875,43
1713,req8mooHO,EqVAWGoFs,31,33,16,1.064516129032258,0.7674418604651163,67,P1,48,67,30,31,1.6,3,48,0.7164179104477612,2.125,68
1713,req8mooHO,EqVAWGoFs,31,33,16,1.064516129032258,0.7674418604651163,67,P2,48,67,30,31,2.161290322580645,1,31,0.967741935483871,2.6875,43
1713,req8mooHO,EqVAWGoFs,31,33,16,1.064516129032258,0.7674418604651163,67,P2,48,67,30,31,2.161290322580645,3,67,0.7164179104477612,2.125,68
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,0.5074626865671642,0.4927536231884058,NA,P1,NA,NA,13,67,NA,1,13,0.19402985074626866,6.2727272727272725,69
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,0.5074626865671642,0.4927536231884058,NA,P1,NA,NA,13,67,NA,3,NA,NA,NA,NA
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,0.5074626865671642,0.4927536231884058,NA,P2,NA,NA,13,67,NA,1,67,0.19402985074626866,6.2727272727272725,69
1801,wF6mCCNjL,fzVxBiJAW,67,34,11,0.5074626865671642,0.4927536231884058,NA,P2,NA,NA,13,67,NA,3,NA,NA,NA,NA
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,0.9666666666666667,0.6590909090909091,NA,P1,NA,59,29,30,NA,1,29,0.9666666666666667,2.933333333333333,44
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,0.9666666666666667,0.6590909090909091,NA,P1,NA,59,29,30,NA,3,NA,NA,NA,59
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,0.9666666666666667,0.6590909090909091,NA,P2,NA,59,29,30,1.9666666666666666,1,30,0.9666666666666667,2.933333333333333,44
1802,j9HWzdM4D,TG5a4vn3p,30,29,15,0.9666666666666667,0.6590909090909091,NA,P2,NA,59,29,30,1.9666666666666666,3,59,NA,NA,59
1803,7crs1fOkT,qq94SZKTE,40,26,15,0.65,0.65,NA,P1,NA,NA,40,15,NA,1,40,0.375,2.6666666666666665,40
1803,7crs1fOkT,qq94SZKTE,40,26,15,0.65,0.65,NA,P1,NA,NA,40,15,NA,3,NA,NA,NA,NA
1803,7crs1fOkT,qq94SZKTE,40,26,15,0.65,0.65,NA,P2,NA,NA,40,15,NA,1,15,0.375,2.6666666666666665,40
1803,7crs1fOkT,qq94SZKTE,40,26,15,0.65,0.65,NA,P2,NA,NA,40,15,NA,3,NA,NA,NA,NA
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,1.6521739130434783,0.9743589743589743,NA,P1,NA,39,23,23,NA,1,23,1,5.571428571428571,39
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,1.6521739130434783,0.9743589743589743,NA,P1,NA,39,23,23,NA,3,NA,NA,NA,39
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,1.6521739130434783,0.9743589743589743,NA,P2,NA,39,23,23,1.6956521739130435,1,23,1,5.571428571428571,39
1803,q4vh9tZuT,qCmb6XyBO,23,38,7,1.6521739130434783,0.9743589743589743,NA,P2,NA,39,23,23,1.6956521739130435,3,39,NA,NA,39
1804,bLCUDUd68,jHzBZKMFu,27,36,11,1.3333333333333333,1.0285714285714285,NA,P1,NA,NA,19,27,NA,1,19,0.7037037037037037,3.1818181818181817,35
1804,bLCUDUd68,jHzBZKMFu,27,36,11,1.3333333333333333,1.0285714285714285,NA,P1,NA,NA,19,27,NA,3,NA,NA,NA,NA
1804,bLCUDUd68,jHzBZKMFu,27,36,11,1.3333333333333333,1.0285714285714285,NA,P2,NA,NA,19,27,NA,1,27,0.7037037037037037,3.1818181818181817,35
1804,bLCUDUd68,jHzBZKMFu,27,36,11,1.3333333333333333,1.0285714285714285,NA,P2,NA,NA,19,27,NA,3,NA,NA,NA,NA
1804,FTqlf4xKs,FveWVbs8s,35,37,16,1.0571428571428572,0.6981132075471698,NA,P1,NA,NA,35,34,NA,1,35,0.9714285714285714,3.3125,53
1804,FTqlf4xKs,FveWVbs8s,35,37,16,1.0571428571428572,0.6981132075471698,NA,P1,NA,NA,35,34,NA,3,NA,NA,NA,NA
1804,FTqlf4xKs,FveWVbs8s,35,37,16,1.0571428571428572,0.6981132075471698,NA,P2,NA,NA,35,34,NA,1,34,0.9714285714285714,3.3125,53
1804,FTqlf4xKs,FveWVbs8s,35,37,16,1.0571428571428572,0.6981132075471698,NA,P2,NA,NA,35,34,NA,3,NA,NA,NA,NA
1805,f78i5b8mR,ilfs9q7JB,26,22,7,0.8461538461538461,0.5,NA,P1,41,NA,26,25,1.5769230769230769,1,26,0.9615384615384616,6.285714285714286,44
1805,f78i5b8mR,ilfs9q7JB,26,22,7,0.8461538461538461,0.5,NA,P1,41,NA,26,25,1.5769230769230769,3,41,NA,NA,41
1805,f78i5b8mR,ilfs9q7JB,26,22,7,0.8461538461538461,0.5,NA,P2,41,NA,26,25,NA,1,25,0.9615384615384616,6.285714285714286,44
1805,f78i5b8mR,ilfs9q7JB,26,22,7,0.8461538461538461,0.5,NA,P2,41,NA,26,25,NA,3,NA,NA,NA,41
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,0.625,0.47619047619047616,NA,P1,35,NA,24,32,1.4583333333333333,1,24,0.75,3,42
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,0.625,0.47619047619047616,NA,P1,35,NA,24,32,1.4583333333333333,3,35,NA,NA,35
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,0.625,0.47619047619047616,NA,P2,35,NA,24,32,NA,1,32,0.75,3,42
1805,ga0V8wnaV,Aqo4WVubQ,32,20,14,0.625,0.47619047619047616,NA,P2,35,NA,24,32,NA,3,NA,NA,NA,35
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,1.2727272727272727,0.8235294117647058,NA,P1,NA,NA,22,21,NA,1,22,0.9545454545454546,3.7777777777777777,34
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,1.2727272727272727,0.8235294117647058,NA,P1,NA,NA,22,21,NA,3,NA,NA,NA,NA
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,1.2727272727272727,0.8235294117647058,NA,P2,NA,NA,22,21,NA,1,21,0.9545454545454546,3.7777777777777777,34
1806,rtZaL7UUb,j5BFFbQzo,22,28,9,1.2727272727272727,0.8235294117647058,NA,P2,NA,NA,22,21,NA,3,NA,NA,NA,NA
1807,P23HcAJhe,3QE2Q43DE,32,22,5,0.6875,0.6111111111111112,NA,P1,42,NA,32,9,1.3125,1,32,0.28125,7.2,36
1807,P23HcAJhe,3QE2Q43DE,32,22,5,0.6875,0.6111111111111112,NA,P1,42,NA,32,9,1.3125,3,42,NA,NA,42
1807,P23HcAJhe,3QE2Q43DE,32,22,5,0.6875,0.6111111111111112,NA,P2,42,NA,32,9,NA,1,9,0.28125,7.2,36
1807,P23HcAJhe,3QE2Q43DE,32,22,5,0.6875,0.6111111111111112,NA,P2,42,NA,32,9,NA,3,NA,NA,NA,42
1808,9WK6OMS78,P7DasbZIa,42,21,8,0.5,0.4375,NA,P1,44,NA,14,42,3.142857142857143,1,14,0.3333333333333333,6,48
1808,9WK6OMS78,P7DasbZIa,42,21,8,0.5,0.4375,NA,P1,44,NA,14,42,3.142857142857143,3,44,NA,NA,44
1808,9WK6OMS78,P7DasbZIa,42,21,8,0.5,0.4375,NA,P2,44,NA,14,42,NA,1,42,0.3333333333333333,6,48
1808,9WK6OMS78,P7DasbZIa,42,21,8,0.5,0.4375,NA,P2,44,NA,14,42,NA,3,NA,NA,NA,44
1809,Nfy3haUtj,47EmgDqS8,20,23,6,1.15,0.71875,NA,P1,NA,NA,20,18,NA,1,20,0.9,5.333333333333333,32
1809,Nfy3haUtj,47EmgDqS8,20,23,6,1.15,0.71875,NA,P1,NA,NA,20,18,NA,3,NA,NA,NA,NA
1809,Nfy3haUtj,47EmgDqS8,20,23,6,1.15,0.71875,NA,P2,NA,NA,20,18,NA,1,18,0.9,5.333333333333333,32
1809,Nfy3haUtj,47EmgDqS8,20,23,6,1.15,0.71875,NA,P2,NA,NA,20,18,NA,3,NA,NA,NA,NA
1810,f66Hq0xgM,MOkjY9mef,27,39,13,1.4444444444444444,1.0263157894736843,NA,P1,NA,NA,24,27,NA,1,24,0.8888888888888888,2.923076923076923,38
1810,f66Hq0xgM,MOkjY9mef,27,39,13,1.4444444444444444,1.0263157894736843,NA,P1,NA,NA,24,27,NA,3,NA,NA,NA,NA
1810,f66Hq0xgM,MOkjY9mef,27,39,13,1.4444444444444444,1.0263157894736843,NA,P2,NA,NA,24,27,NA,1,27,0.8888888888888888,2.923076923076923,38
1810,f66Hq0xgM,MOkjY9mef,27,39,13,1.4444444444444444,1.0263157894736843,NA,P2,NA,NA,24,27,NA,3,NA,NA,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,P1,NA,NA,NA,20,NA,1,NA,NA,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,P1,NA,NA,NA,20,NA,3,NA,NA,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,P2,NA,NA,NA,20,NA,1,20,NA,NA,NA
1811,nkNusBjLy,1EPk0kgrZ,NA,26,NA,NA,NA,NA,P2,NA,NA,NA,20,NA,3,NA,NA,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,0.9583333333333334,0.7540983606557377,NA,P1,NA,NA,32,48,NA,1,32,0.6666666666666666,3.210526315789474,61
1812,SsHExLSWt,NSGGXKesq,48,46,19,0.9583333333333334,0.7540983606557377,NA,P1,NA,NA,32,48,NA,3,NA,NA,NA,NA
1812,SsHExLSWt,NSGGXKesq,48,46,19,0.9583333333333334,0.7540983606557377,NA,P2,NA,NA,32,48,NA,1,48,0.6666666666666666,3.210526315789474,61
1812,SsHExLSWt,NSGGXKesq,48,46,19,0.9583333333333334,0.7540983606557377,NA,P2,NA,NA,32,48,NA,3,NA,NA,NA,NA
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,1.35,1.173913043478261,40,P1,22,40,7,20,3.142857142857143,1,7,0.35,5.75,23
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,1.35,1.173913043478261,40,P1,22,40,7,20,3.142857142857143,3,22,0.55,3.1333333333333333,47
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,1.35,1.173913043478261,40,P2,22,40,7,20,2,1,20,0.35,5.75,23
2101,N9XlemTL5,r9DwHOJ4v,20,27,4,1.35,1.173913043478261,40,P2,22,40,7,20,2,3,40,0.55,3.1333333333333333,47
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,P1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,P1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,P2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2102,Dz2nlaqRJ,oIYjcWjzv,NA,38,NA,NA,NA,NA,P2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,0.5161290322580645,0.4,21,P1,21,15,31,15,0.6774193548387096,1,31,0.4838709677419355,6.666666666666667,40
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,0.5161290322580645,0.4,21,P1,21,15,31,15,0.6774193548387096,3,21,0.7142857142857143,8,32
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,0.5161290322580645,0.4,21,P2,21,15,31,15,1,1,15,0.4838709677419355,6.666666666666667,40
2103,xVDLHgzUw,iEXKcHLGT,31,16,6,0.5161290322580645,0.4,21,P2,21,15,31,15,1,3,15,0.7142857142857143,8,32
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,0.5833333333333334,0.42,41,P1,34,41,36,23,0.9444444444444444,1,36,0.6388888888888888,5.555555555555555,50
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,0.5833333333333334,0.42,41,P1,34,41,36,23,0.9444444444444444,3,34,0.8292682926829268,3.1666666666666665,57
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,0.5833333333333334,0.42,41,P2,34,41,36,23,1.7826086956521738,1,23,0.6388888888888888,5.555555555555555,50
2104,YBL5kiDq9,2Y0el4yVq,36,21,9,0.5833333333333334,0.42,41,P2,34,41,36,23,1.7826086956521738,3,41,0.8292682926829268,3.1666666666666665,57
2105,K56cni2Qy,0Zft13QsF,24,46,8,1.9166666666666667,1.1794871794871795,52,P1,49,52,24,23,2.0416666666666665,1,24,0.9583333333333334,4.875,39
2105,K56cni2Qy,0Zft13QsF,24,46,8,1.9166666666666667,1.1794871794871795,52,P1,49,52,24,23,2.0416666666666665,3,49,0.9423076923076923,2.3666666666666667,71
2105,K56cni2Qy,0Zft13QsF,24,46,8,1.9166666666666667,1.1794871794871795,52,P2,49,52,24,23,2.260869565217391,1,23,0.9583333333333334,4.875,39
2105,K56cni2Qy,0Zft13QsF,24,46,8,1.9166666666666667,1.1794871794871795,52,P2,49,52,24,23,2.260869565217391,3,52,0.9423076923076923,2.3666666666666667,71
2106,SCekAduEx,H31e76Sl4,12,12,6,1,0.8571428571428571,12,P1,11,12,12,8,0.9166666666666666,1,12,0.6666666666666666,2.3333333333333335,14
2106,SCekAduEx,H31e76Sl4,12,12,6,1,0.8571428571428571,12,P1,11,12,12,8,0.9166666666666666,3,11,0.9166666666666666,6.666666666666667,20
2106,SCekAduEx,H31e76Sl4,12,12,6,1,0.8571428571428571,12,P2,11,12,12,8,1.5,1,8,0.6666666666666666,2.3333333333333335,14
2106,SCekAduEx,H31e76Sl4,12,12,6,1,0.8571428571428571,12,P2,11,12,12,8,1.5,3,12,0.9166666666666666,6.666666666666667,20
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,0.9714285714285714,0.68,47,P1,47,39,26,35,1.8076923076923077,1,26,0.7428571428571429,4.545454545454546,50
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,0.9714285714285714,0.68,47,P1,47,39,26,35,1.8076923076923077,3,47,0.8297872340425532,3.0952380952380953,65
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,0.9714285714285714,0.68,47,P2,47,39,26,35,1.1142857142857143,1,35,0.7428571428571429,4.545454545454546,50
2107,wfwsjQuh9,BdVGDhZaN,35,34,11,0.9714285714285714,0.68,47,P2,47,39,26,35,1.1142857142857143,3,39,0.8297872340425532,3.0952380952380953,65
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,2.25,1.6363636363636365,58,P1,58,40,16,10,3.625,1,16,0.625,5.5,22
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,2.25,1.6363636363636365,58,P1,58,40,16,10,3.625,3,58,0.6896551724137931,1.8823529411764706,64
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,2.25,1.6363636363636365,58,P2,58,40,16,10,4,1,10,0.625,5.5,22
2108,L74Vh3rNi,kH6LD1pBN,16,36,4,2.25,1.6363636363636365,58,P2,58,40,16,10,4,3,40,0.6896551724137931,1.8823529411764706,64
2109,0OejK6YU5,2jLd1LMv7,16,23,4,1.4375,1,21,P1,21,13,16,11,1.3125,1,16,0.6875,5.75,23
2109,0OejK6YU5,2jLd1LMv7,16,23,4,1.4375,1,21,P1,21,13,16,11,1.3125,3,21,0.6190476190476191,5.8,29
2109,0OejK6YU5,2jLd1LMv7,16,23,4,1.4375,1,21,P2,21,13,16,11,1.1818181818181819,1,11,0.6875,5.75,23
2109,0OejK6YU5,2jLd1LMv7,16,23,4,1.4375,1,21,P2,21,13,16,11,1.1818181818181819,3,13,0.6190476190476191,5.8,29
2110,n3eqy99gW,lLq4FpFkm,29,34,6,1.1724137931034482,0.8947368421052632,39,P1,39,35,15,29,2.6,1,15,0.5172413793103449,6.333333333333333,38
2110,n3eqy99gW,lLq4FpFkm,29,34,6,1.1724137931034482,0.8947368421052632,39,P1,39,35,15,29,2.6,3,39,0.8974358974358975,2.217391304347826,51
2110,n3eqy99gW,lLq4FpFkm,29,34,6,1.1724137931034482,0.8947368421052632,39,P2,39,35,15,29,1.206896551724138,1,29,0.5172413793103449,6.333333333333333,38
2110,n3eqy99gW,lLq4FpFkm,29,34,6,1.1724137931034482,0.8947368421052632,39,P2,39,35,15,29,1.206896551724138,3,35,0.8974358974358975,2.217391304347826,51
2111,LYNLIZcfa,cSglstp8y,26,29,4,1.1153846153846154,0.90625,21,P1,21,20,26,10,0.8076923076923077,1,26,0.38461538461538464,8,32
2111,LYNLIZcfa,cSglstp8y,26,29,4,1.1153846153846154,0.90625,21,P1,21,20,26,10,0.8076923076923077,3,21,0.9523809523809523,9.25,37
2111,LYNLIZcfa,cSglstp8y,26,29,4,1.1153846153846154,0.90625,21,P2,21,20,26,10,2,1,10,0.38461538461538464,8,32
2111,LYNLIZcfa,cSglstp8y,26,29,4,1.1153846153846154,0.90625,21,P2,21,20,26,10,2,3,20,0.9523809523809523,9.25,37
2112,B2VGhAwDm,6faZqFCbq,24,25,5,1.0416666666666667,0.8064516129032258,30,P1,23,30,12,24,1.9166666666666667,1,12,0.5,6.2,31
2112,B2VGhAwDm,6faZqFCbq,24,25,5,1.0416666666666667,0.8064516129032258,30,P1,23,30,12,24,1.9166666666666667,3,23,0.7666666666666667,2.1176470588235294,36
2112,B2VGhAwDm,6faZqFCbq,24,25,5,1.0416666666666667,0.8064516129032258,30,P2,23,30,12,24,1.25,1,24,0.5,6.2,31
2112,B2VGhAwDm,6faZqFCbq,24,25,5,1.0416666666666667,0.8064516129032258,30,P2,23,30,12,24,1.25,3,30,0.7666666666666667,2.1176470588235294,36
2113,tyzuRfdEP,P26rEcvgh,22,34,6,1.5454545454545454,1.096774193548387,52,P1,52,39,22,15,2.3636363636363638,1,22,0.6818181818181818,5.166666666666667,31
2113,tyzuRfdEP,P26rEcvgh,22,34,6,1.5454545454545454,1.096774193548387,52,P1,52,39,22,15,2.3636363636363638,3,52,0.75,2.25,63
2113,tyzuRfdEP,P26rEcvgh,22,34,6,1.5454545454545454,1.096774193548387,52,P2,52,39,22,15,2.6,1,15,0.6818181818181818,5.166666666666667,31
2113,tyzuRfdEP,P26rEcvgh,22,34,6,1.5454545454545454,1.096774193548387,52,P2,52,39,22,15,2.6,3,39,0.75,2.25,63
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,1.5789473684210527,1.1538461538461537,74,P1,74,48,38,34,1.9473684210526316,1,38,0.8947368421052632,2.6,52
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,1.5789473684210527,1.1538461538461537,74,P1,74,48,38,34,1.9473684210526316,3,74,0.6486486486486487,2.388888888888889,86
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,1.5789473684210527,1.1538461538461537,74,P2,74,48,38,34,1.411764705882353,1,34,0.8947368421052632,2.6,52
2114,B5CXJsYZy,8E3Yx74uO,38,60,20,1.5789473684210527,1.1538461538461537,74,P2,74,48,38,34,1.411764705882353,3,48,0.6486486486486487,2.388888888888889,86
